"","AUR","Price","AgeRating","Size","HasSubtitle","InAppSum","InAppMin","InAppMax","InAppCount","InAppAvg","descriptionTermCount","DevType","LanguagesCount","EngSupported","GenreCount","months","monthsSinceUpdate","GameFree","Ratings"
"1",4,2.99,"4+",15853568,0,0,0,0,0,0,263,"Professional",17,"1",2,"7",29,"1","1"
"2",3.5,1.99,"4+",12328960,0,0,0,0,0,0,204,"Newbie",1,"1",2,"7",17,"1","1"
"3",3,0,"4+",674816,0,0,0,0,0,0,97,"Newbie",1,"1",2,"7",25,"1","1"
"4",3.5,0,"4+",21552128,0,0,0,0,0,0,272,"Professional",17,"1",2,"7",29,"1","1"
"5",3.5,2.99,"4+",34689024,0,0,0,0,0,0,365,"Newbie",15,"1",3,"7",15,"1","0"
"6",3,0,"4+",48672768,1,1.99,1.99,1.99,1,1.99,368,"Newbie",1,"1",3,"7",6,"0","1"
"7",2.5,0,"4+",6328320,0,0,0,0,0,0,113,"Newbie",0,"0",3,"7",71,"1","0"
"8",2.5,0.99,"4+",64333824,0,0,0,0,0,0,129,"Newbie",1,"1",2,"8",12,"1","1"
"9",2.5,0,"4+",2657280,0,0,0,0,0,0,61,"Newbie",1,"0",3,"8",23,"1","0"
"10",2.5,0,"4+",1466515,0,0,0,0,0,0,87,"Newbie",1,"1",2,"8",134,"1","1"
"11",0,0,"4+",3089867,0,0,0,0,0,0,110,"Newbie",1,"1",3,"8",133,"1","-1"
"12",3.5,0,"4+",7086403,0,0,0,0,0,0,101,"Newbie",1,"1",2,"8",131,"1","1"
"13",3,0,"4+",845008,0,0,0,0,0,0,111,"Newbie",1,"1",2,"8",123,"1","1"
"14",3.5,0.99,"4+",3643392,0,0,0,0,0,0,266,"Newbie",1,"1",2,"8",5,"1","1"
"15",2.5,0,"4+",731525,0,0,0,0,0,0,171,"Newbie",1,"1",3,"8",132,"1","1"
"16",3,0,"4+",122826752,0,0.99,0.99,0.99,1,0.99,101,"Newbie",5,"1",2,"8",54,"0","1"
"17",3,0,"4+",122826752,0,0.99,0.99,0.99,1,0.99,101,"Newbie",5,"1",2,"8",54,"0","1"
"18",3,0,"4+",444163,0,0,0,0,0,0,97,"Newbie",1,"1",2,"9",120,"1","1"
"19",3.5,0,"4+",26820692,0,14.93,0.99,4.99,7,2.13285714285714,111,"Newbie",1,"1",2,"2",78,"0","1"
"20",3.5,0,"4+",52236288,1,2.97,0.99,0.99,3,0.99,170,"Newbie",1,"1",3,"9",6,"0","1"
"21",3,0.99,"4+",1530880,0,0,0,0,0,0,118,"Newbie",1,"1",3,"9",36,"1","0"
"22",2,0.99,"9+",4341760,0,0,0,0,0,0,149,"Newbie",1,"1",3,"9",7,"1","0"
